1,4,0.0,500.0,30/07/2021
2,4,0.0,50.0,30/07/2021
3,1,0.0,1000.0,30/07/2021
4,7,0.0,500.0,30/07/2021
5,4,0.0,200.0,30/07/2021
6,5,0.0,0.0,30/07/2021
7,5,0.0,100000.0,30/07/2021
8,1,0.0,350.0,30/07/2021
12,4,600.0,0.0,30/07/2021
13,4,0.0,500.0,30/07/2021
14,4,200.0,0.0,30/07/2021
15,4,250.0,0.0,30/07/2021
16,3,0.0,500.0,30/07/2021
17,3,200.0,0.0,30/07/2021
18,3,200.0,0.0,30/07/2021
19,3,0.0,250.0,30/07/2021
20,3,0.0,500.0,30/07/2021
21,8,0.0,250.0,31/07/2021
22,1,200.0,0.0,31/07/2021
23,6,0.0,1500.0,01/08/2021
24,11,0.0,1250.0,01/08/2021
25,11,1135.0,0.0,01/08/2021
26,11,0.0,1000.0,01/08/2021
27,11,650.0,0.0,01/08/2021
30,13,0.0,2500.0,02/08/2021
31,13,0.0,100.0,02/08/2021
32,13,0.0,100.0,02/08/2021
33,13,0.0,100.0,02/08/2021
34,13,0.0,100.0,02/08/2021
35,13,250.0,0.0,02/08/2021
36,16,0.0,1175.0,05/08/2021
37,16,125.0,0.0,05/08/2021
38,19,0.0,1287.0,09/08/2021
